English,Spanish,sentiment
abandon,abandonar,negative
abandoned,abandonado,negative
abandonment,abandono,negative
abba,abba,positive
abduction,secuestro,negative
aberrant,aberrante,negative
aberration,aberración,negative
abhor,aborrecer,negative
abhorrent,aborrecible,negative
ability,capacidad,positive
abject,abyecto,negative
abnormal,anormal,negative
abolish,abolir,negative
abolition,abolición,negative
abominable,abominable,negative
abomination,abominación,negative
abort,abortar,negative
abortion,aborto,negative
abortive,abortivo,negative
abovementioned,citada,positive
abrasion,abrasión,negative
abrogate,abrogar,negative
abscess,absceso,negative
absence,ausencia,negative
absent,ausente,negative
absentee,ausente,negative
absenteeism,absentismo,negative
absolute,absoluto,positive
absolution,absolución,positive
absorbed,absorbido,positive
absurd,absurdo,negative
absurdity,absurdo,negative
abundance,abundancia,positive
abundant,abundante,positive
abuse,abuso,negative
abysmal,abismal,negative
abyss,abismo,negative
academic,académico,positive
academy,academia,positive
acceptable,aceptable,positive
acceptance,aceptación,positive
accessible,accesible,positive
accident,accidente,negative
accidental,accidental,negative
accolade,espaldarazo,positive
accommodation,alojamiento,positive
accompaniment,acompañamiento,positive
accomplish,lograr,positive
accomplished,realizado,positive
accomplishment,logro,positive
accord,acuerdo,positive
accountability,responsabilidad,positive
accountable,responsable,positive
accredited,autorizado,positive
accueil,accueil,positive
accurate,exacto,positive
accursed,maldito,negative
accusation,acusación,negative
accusative,acusativo,negative
accused,acusado,negative
accuser,acusador,negative
accusing,acusando,negative
ace,as,positive
ache,dolor,negative
achieve,lograr,positive
achievement,logro,positive
aching,dolor,negative
acid,ácido,negative
acknowledgment,reconocimiento,positive
acquire,adquirir,positive
acquiring,la adquisición de,positive
acrobat,acróbata,positive
action,acción,positive
actionable,procesable,negative
actual,real,positive
acuity,agudeza,positive
acumen,perspicacia,positive
adapt,adaptar,positive
adaptable,adaptable,positive
adder,víbora,negative
addiction,adicción,negative
addresses,direcciones,positive
adept,adepto,positive
adequacy,adecuación,positive
adipose,adiposo,negative
adjudicate,juzgar,negative
adjunct,adjunto,positive
admirable,admirable,positive
admiral,almirante,positive
admiration,admiración,positive
admire,admirar,positive
admirer,admirador,positive
admissible,admisible,positive
admonition,admonición,negative
adorable,adorable,positive
adoration,adoración,positive
adore,adorar,positive
adrift,a la deriva,negative
adulterated,adulterado,negative
adultery,adulterio,negative
advance,avanzar,positive
advanced,avanzado,positive
advancement,adelanto,positive
advantage,ventaja,positive
advantageous,ventajoso,positive
advent,advenimiento,positive
adventure,aventuras,positive
adventurous,aventurero,positive
adversary,adversario,negative
adverse,adverso,negative
adversity,adversidad,negative
advisable,aconsejable,positive
advise,asesorar,positive
adviser,asesor,positive
advocacy,defensa,positive
aesthetic,estético,positive
aesthetics,estética,positive
affable,afable,positive
affection,afecto,positive
affiliated,asociado,positive
affirm,afirmar,positive
affirmation,afirmación,positive
affirmative,afirmativo,positive
affirmatively,afirmativamente,positive
afflict,afligir,negative
afflicted,afligido,negative
affliction,aflicción,negative
affluence,opulencia,positive
