"","Source","Title","Narrative","Date"
"1","NPR","Hurricane Maria Spins TowardÿPuerto Rico","NPR's Ari Shapiro checks in withÿPuerto RicoÿSecretary of State Luis Rivera Mar¡n on how the province is recovering from Irma's damage and preparing for yetÿ...",2017-09-18
"2","CBS News","Puerto Ricoÿimposes rationing as Hurricane Maria approaches","Puerto Ricanÿathletes respond to the devastation in their homeland",2017-09-18
"3","Bloomberg","Puerto Rico'sÿDebt Investigation Will Be Broad, Official Says","The independent investigation ofÿPuerto Rico'sÿ$74 billion debt crisis will be a comprehensive look at the borrowing that pushed the island into its record-settingÿ...",2017-09-18
"4","Billboard","Ozuna Wows in Sold-Out Shows atÿPuerto RicoÿColiseum: Exclusive ...","Some 10 songs into the first of back-to-back shows at San Juan's Choliseo deÿPuerto Rico, rising star Ozuna took a deep breath and addressed the crowd.",2017-09-18
"5","NPR","Hurricane Maria Spins Toward˜Puerto Rico","NPR's Ari Shapiro checks in with˜Puerto Rico˜Secretary of State Luis Rivera Mar­n on how the province is recovering from Irma's damage and preparing for yet˜...",2017-09-18
"6","CBS News","Puerto Rico˜imposes rationing as Hurricane Maria approaches","Puerto Rican˜athletes respond to the devastation in their homeland",2017-09-18
"7","Bloomberg","Puerto Rico's˜Debt Investigation Will Be Broad, Official Says","The independent investigation of˜Puerto Rico's˜$74 billion debt crisis will be a comprehensive look at the borrowing that pushed the island into its record-setting˜...",2017-09-18
"8","Billboard","Ozuna Wows in Sold-Out Shows at˜Puerto Rico˜Coliseum: Exclusive ...","Some 10 songs into the first of back-to-back shows at San Juan's Choliseo de˜Puerto Rico, rising star Ozuna took a deep breath and addressed the crowd.",2017-09-18
"9","ABC News","The making of 'Despacito,' a love letter toÿPuerto Rico, and its rise to ...","?Despacito,? the inescapable song of the summer, dominated the charts and infected our brains with its undeniably catchy melody. It reached No. 1 on Billboard'sÿ...",2017-09-19
"10","Village Voice","Puerto Rico, Cuba Slow to Recover From Irma Amid Electricity ...","As the Category 5 hurricane approached,ÿPuerto Ricansÿworried they would be left without power for months. But though Irma retained its strength for severalÿ...",2017-09-19
"11","Democracy Now!","Rep. Luis Guti‚rrez on Category 5 Hurricane Maria Barreling ...","Maria now threatens the capital ofÿPuerto Rico, San Juan, with a possible direct hit as a major hurricane. For more, we speak with Democratic Congressmemberÿ...",2017-09-19
"12","Los Angeles Times","Puerto Ricoÿtakes stock of the damage after Hurricane Maria hits","Darkness falls on downtown San Juan which remains without power.ÿPuerto Ricoofficials say it will likely be four to six months before power is fully restoredÿ...",2017-09-19
"13","Houston Chronicle","Hurricane Maria's track keepsÿPuerto Ricoÿon Carlos Correa's mind","Houston Astros shortstop Carlos Correa (1) stands on first base with hisÿPuertoÿRicoflag shoes during the second inning of an MLB baseball game at Minuteÿ...",2017-09-19
"14","Whitehouse.gov (press release)","President Donald J. Trump ApprovesÿPuerto RicoÿEmergency ...","Today, President Donald J. Trump declared that an emergency exists in the Commonwealth ofÿPuerto Ricoÿand ordered Federal assistance to supplementÿ...",2017-09-19
"15","ABC News","The making of 'Despacito,' a love letter to˜Puerto Rico, and its rise to ...","?Despacito,? the inescapable song of the summer, dominated the charts and infected our brains with its undeniably catchy melody. It reached No. 1 on Billboard's˜...",2017-09-19
"16","Village Voice","Puerto Rico, Cuba Slow to Recover From Irma Amid Electricity ...","As the Category 5 hurricane approached,˜Puerto Ricans˜worried they would be left without power for months. But though Irma retained its strength for several˜...",2017-09-19
"17","Democracy Now!","Rep. Luis Guti?rrez on Category 5 Hurricane Maria Barreling ...","Maria now threatens the capital of˜Puerto Rico, San Juan, with a possible direct hit as a major hurricane. For more, we speak with Democratic Congressmember˜...",2017-09-19
"18","Los Angeles Times","Puerto Rico˜takes stock of the damage after Hurricane Maria hits","Darkness falls on downtown San Juan which remains without power.˜Puerto Ricoofficials say it will likely be four to six months before power is fully restored˜...",2017-09-19
"19","Houston Chronicle","Hurricane Maria's track keeps˜Puerto Rico˜on Carlos Correa's mind","Houston Astros shortstop Carlos Correa (1) stands on first base with his˜Puerto˜Ricoflag shoes during the second inning of an MLB baseball game at Minute˜...",2017-09-19
"20","Whitehouse.gov (press release)","President Donald J. Trump Approves˜Puerto Rico˜Emergency ...","Today, President Donald J. Trump declared that an emergency exists in the Commonwealth of˜Puerto Rico˜and ordered Federal assistance to supplement˜...",2017-09-19
"21","Depth-Washington Post","Puerto Ricoÿentirely without power as Hurricane Maria hammers ...","Maria now a dangerous Category 5, bearing down onÿPuerto Rico",2017-09-20
